8.9.76 com.tencent.mobileqq
12.6.5.8 com.tencent.qqmusic
12.1.0 com.jingdong.app.mall
10.2.2 com.Qunar
11.5.13 com.dianping.v1
8.1.0 com.xingin.xhs
8.0.40 com.tencent.mm
11.7.20.32398 com.smile.gifmaker
6.73.0 com.xunmeng.pinduoduo
10.5.10.8000 com.eg.android.AlipayGphone
9.2.69 com.youdao.dict
10.27.20 com.taobao.taobao
14.8.0 com.qiyi.video
5.8.9.32 com.dragon.read
18.8.5 com.baidu.BaiduMap
8.10.50 com.netease.cloudmusic
101.1 com.netease.newsreader.activity
12.12.406 com.sankuai.meituan
9.9.5.0 com.mt.mtxx.mtxx
11.3.30 com.meitu.meiyancamera
8.9.10.27599 com.tencent.qqlive
1.259.0.1 com.king.candycrushsaga
4.0.0_16983586_17100363 com.miHoYo.GenshinImpact
1.23.322.03.90 com.google.android.apps.docs.editors.docs
1.70.3 com.mxtech.videoplayer.ad
1.100.1 com.dts.freefireth
12.48.0.66 com.snapchat.android
296.0.0.35.109 com.instagram.android
2.23.16.76 com.whatsapp
3.16.1 com.kiloo.subwaysurf
26.16.0.100 com.amazon.mShop.android.shopping
2023.08.08-release com.soundcloud.android
320.12 com.strava
23.6.0.28188 com.adobe.reader
23.27.1 com.life360.android.safetymapd
3.0.353.3847 com.amazon.avod.thirdpartyclient
4.1.850 com.linkedin.android
4.2331.1 com.microsoft.office.outlook
4.63.0 com.foxnews.android
5.86.0.551687374 com.google.android.apps.magazines
7.21.1 com.yahoo.mobile.client.android.mail
9.9.2 com.flightradar24free
9.84.1-release.0 com.twitter.android
8.101.0.212 com.skype.raider
8.8.62.491 com.spotify.music
18.32.36 com.google.android.youtube
5.7.0.8 com.MobileTicket
30.8.4 com.zhiliaoapp.musically
9.3.300 com.meitu.meipaimv
8.102.0.589 com.tencent.weishi
111.0.551040799 com.google.android.dialer
6.15.51 com.google.android.apps.youtube.music
13.8.2 com.sina.weibo
11.7.0 com.kugou.android
9.0828.02 com.moji.mjweather
10.0.2 org.telegram.messenger
messages.android_20230725_01_RC02.phone_dynamic com.google.android.apps.messaging
427.0.0.31.63 com.facebook.katana
11.7.20.6178 com.kuaishou.nebula
11.92.0302 com.google.android.apps.maps
4.14.23.551708978 com.google.android.contacts
116.0.5845.92 com.android.chrome
